facet	value	count
annotation_class	GO:0006465	1196
annotation_class	GO:0030015	1195
annotation_class	GO:0030515	1194
annotation_class	GO:1902600	1193
annotation_class	GO:0007004	1191
annotation_class	GO:0055037	1189
annotation_class	GO:0004032	1188
annotation_class	GO:0097352	1186
annotation_class	GO:0005819	1183
annotation_class	GO:0006334	1182
annotation_class	GO:0007204	1181
annotation_class	GO:0006515	1178
annotation_class	GO:0000974	1175
annotation_class	GO:0005662	1173
annotation_class	GO:0016279	1172
annotation_class	GO:0042162	1172
annotation_class	GO:0051119	1170
annotation_class	GO:0004888	1169
annotation_class	GO:0016973	1167
annotation_class	GO:0005811	1163
annotation_class	GO:0047372	1162
annotation_class	GO:0006122	1161
annotation_class	GO:0051123	1159
annotation_class	GO:0045490	1157
annotation_class	GO:0005832	1155
annotation_class	GO:0005852	1155
annotation_class	GO:1904315	1155
annotation_class	GO:0008408	1154
annotation_class	GO:0009707	1152
annotation_class	GO:0030335	1151
annotation_class	GO:0071949	1151
annotation_class	GO:0007417	1150
annotation_class	GO:0032153	1150
annotation_class	GO:0032993	1150
annotation_class	GO:0005876	1149
annotation_class	GO:0005315	1148
annotation_class	GO:0045088	1148
annotation_class	GO:0005758	1147
annotation_class	GO:0042054	1146
annotation_class	GO:0051259	1144
annotation_class	GO:0006284	1139
annotation_class	GO:0001664	1138
annotation_class	GO:0006805	1136
annotation_class	GO:0007608	1136
annotation_class	GO:0014069	1135
annotation_class	GO:0009414	1133
annotation_class	GO:0004568	1130
annotation_class	GO:0009395	1120
annotation_class	GO:0000460	1114
annotation_class	GO:0030139	1112
annotation_class	GO:0043065	1111
annotation_class	GO:0098839	1110
annotation_class	GO:0030295	1109
annotation_class	GO:0034220	1109
annotation_class	GO:0030136	1106
annotation_class	GO:0005911	1105
annotation_class	GO:0006303	1101
annotation_class	GO:0019432	1100
annotation_class	GO:0008380	1098
annotation_class	GO:0005881	1095
annotation_class	GO:0043123	1095
annotation_class	GO:0140326	1095
annotation_class	GO:0009768	1094
annotation_class	GO:0015935	1094
annotation_class	GO:0004439	1093
annotation_class	GO:0004714	1092
annotation_class	GO:0072657	1086
annotation_class	GO:0005923	1084
annotation_class	GO:0046961	1084
annotation_class	GO:0006090	1083
annotation_class	GO:1990573	1082
annotation_class	GO:0000245	1080
annotation_class	GO:0000177	1077
annotation_class	GO:0061077	1076
annotation_class	GO:0006400	1075
annotation_class	GO:0009060	1072
annotation_class	GO:0080008	1071
annotation_class	GO:0051117	1069
annotation_class	GO:0000162	1068
annotation_class	GO:0000815	1068
annotation_class	GO:0045109	1068
annotation_class	GO:0003678	1066
annotation_class	GO:0015276	1066
annotation_class	GO:0005744	1065
annotation_class	GO:0015693	1063
annotation_class	GO:0016712	1062
annotation_class	GO:0003823	1061
annotation_class	GO:0004029	1060
annotation_class	GO:0070628	1060
annotation_class	GO:0032934	1059
annotation_class	GO:0031982	1058
annotation_class	GO:0043047	1058
annotation_class	GO:0007160	1056
annotation_class	GO:0010181	1054
annotation_class	GO:0007163	1053
annotation_class	GO:0007188	1050
annotation_class	GO:0001786	1049
annotation_class	GO:0006520	1047
annotation_class	GO:0000422	1046
annotation_class	GO:0034314	1046
annotation_class	GO:0070006	1046
annotation_class	GO:0002229	1045
annotation_class	GO:0006491	1043
annotation_class	GO:0070180	1043
annotation_class	GO:0036402	1039
annotation_class	GO:0030574	1036
annotation_class	GO:0090090	1035
annotation_class	GO:0000159	1034
annotation_class	GO:0006813	1033
annotation_class	GO:0015035	1033
annotation_class	GO:0000956	1032
annotation_class	GO:0004565	1030
annotation_class	GO:0005847	1030
annotation_class	GO:0008483	1030
annotation_class	GO:0019773	1029
annotation_class	GO:0051537	1029
annotation_class	GO:0032050	1024
annotation_class	GO:0003688	1022
annotation_class	GO:0006164	1018
annotation_class	GO:0008526	1018
annotation_class	GO:0040029	1013
annotation_class	GO:0015937	1012
annotation_class	GO:0030422	1010
annotation_class	GO:0008353	1005
annotation_class	GO:0007507	999
annotation_class	GO:0000184	996
annotation_class	GO:0008541	988
annotation_class	GO:0030246	987
annotation_class	GO:0001227	986
annotation_class	GO:0001731	986
annotation_class	GO:0008094	986
annotation_class	GO:0016064	986
annotation_class	GO:0000922	985
annotation_class	GO:0007094	985
annotation_class	GO:0008013	984
annotation_class	GO:0000723	982
annotation_class	GO:0061709	982
annotation_class	GO:0090307	982
annotation_class	GO:0008180	980
annotation_class	GO:0016075	979
annotation_class	GO:0006833	977
annotation_class	GO:0005992	976
annotation_class	GO:0007346	976
annotation_class	GO:0015079	976
annotation_class	GO:0032266	976
annotation_class	GO:0030864	975
